date,floors_pred,steps_pred,calories_burned_pred,distance_pred,dist_pred_reg,minutes_sedentary_pred,minutes_lightly_active_pred,minutes_fairly_active_pred,minutes_very_active_pred,activity_calories_pred,activity_calories_pred_reg
2018-12-07,30.662555745161136,13237.307165305738,3983.859160053803,7.874744874764599,6.254543912329778,606.2079990803159,237.58878266540057,18.75,62.37,2359.4827560555477,2145.772999606503
2018-12-08,30.978145550893494,13205.998550817363,4030.4612242453486,7.963969591702005,6.239738694710515,508.04443950688585,236.39137779614134,18.75,62.37,2308.2403083876407,2141.465325610584
2018-12-09,31.293735356625852,13174.689936328989,4037.2233293521435,8.194518715021427,6.224933477091253,464.91425746532343,244.11144281027893,18.75,62.37,2366.143008756193,2137.1576516146647
2018-12-10,31.609325162358214,13143.381321840614,3752.237891042151,7.037950830918434,6.21012825947199,558.1291184512448,224.13476959789463,18.75,62.37,2018.647536097883,2132.8499776187455
2018-12-11,31.924914968090576,13112.07270735224,3812.9977416881898,7.223377764257334,6.195323041852728,593.7455793189528,231.6237090021794,18.75,62.37,2022.7871203912146,2128.5423036228262
2018-12-12,32.240504773822934,13080.764092863865,3802.8312927768543,7.323176612670383,6.180517824233465,649.4266458569489,230.50673646294806,18.75,62.37,2113.9392145669162,2124.234629626907
2018-12-13,32.55609457955529,13049.45547837549,3911.5329195859836,7.779967160093923,6.1657126066142025,612.7401587319121,244.86621414133637,18.75,62.37,2228.676053209259,2119.926955630988
2018-12-14,32.87168438528766,13018.146863887116,4010.6380407599127,8.091265086241771,6.1509073889949395,592.4033183425188,239.3355487931231,18.75,62.37,2397.562780882241,2115.6192816350685
2018-12-15,33.187274191020016,12986.838249398741,4057.193764482498,8.179823489999276,6.136102171375677,494.2588636435565,238.13658886704522,18.75,62.37,2346.285004578214,2111.3116076391493
2018-12-16,33.502863996752374,12955.529634910366,4063.90941518552,8.40969602397369,6.121296953756414,451.1479868846315,245.85509011341955,18.75,62.37,2404.151519334865,2107.00393364323
2018-12-17,33.81845380248474,12924.22102042199,3778.8774097481755,7.252441422453638,6.106491736137151,544.3823523270298,225.87684445736883,18.75,62.37,2056.6190074433275,2102.6962596473104
2018-12-18,34.1340436082171,12892.912405933615,3839.590581751367,7.437171659858717,6.091686518517888,580.0185155821454,233.36420277706534,18.75,62.37,2060.7207023085452,2098.388585651391
2018-12-19,34.449633413949456,12861.60379144524,3829.377343890923,7.5362639847902875,6.076881300898626,635.7194811845467,232.24564054757644,18.75,62.37,2151.83406036309,2094.080911655472
2018-12-20,34.765223219681815,12830.295176956866,3938.032072653307,7.992338333495696,6.062076083279363,599.0530885379122,246.60351996549707,18.75,62.37,2266.531319766163,2089.7732376595527
2018-12-21,35.08081302541418,12798.986562468492,4037.090187889388,8.302910539267488,6.047270865660101,578.7365367682177,241.07124782200106,18.75,62.37,2435.3776287265027,2085.4655636636335
2018-12-22,35.39640283114654,12767.677947980117,4083.598798989843,8.390733855785939,6.032465648040838,480.6125635481436,239.87067260158503,18.75,62.37,2384.058597954291,2081.1578896677142
2018-12-23,35.711992636878904,12736.369333491743,4090.267231591581,8.619862091591846,6.017660430421576,437.5223598362456,247.58755009027553,18.75,62.37,2441.883026274736,2076.850215671795
2018-12-24,36.02758244261126,12705.060719003368,3805.1879037789,7.461854137990107,6.002855212802313,530.7775885933565,227.60767224913573,18.75,62.37,2094.3075998378367,2072.542541675876
2018-12-25,36.34317224834362,12673.752104514993,3865.853650335622,7.645822127423446,5.988049995183051,566.4348041220234,235.09338999237536,18.75,62.37,2098.36555597446,2068.2348676799566
2018-12-26,36.65876205407598,12642.443490026619,3855.5928851609438,7.744143467469921,5.973244777563788,622.1570096387843,233.97317883131626,18.75,62.37,2189.434355113708,2063.9271936840373
2018-12-27,36.97435185980834,12611.134875538244,3964.199985941887,8.199438254227475,5.958439559944526,585.5120432210236,248.32940099877143,18.75,62.37,2304.0862394767146,2059.619519688118
2018-12-28,37.2899416655407,12579.82626104987,4063.210373730377,8.509222481663887,5.943634342325263,565.2171026599704,242.79546332244348,18.75,62.37,2472.886361403397,2055.311845692199
